A,B,C,D,E,F,G,H,I,J,K,L
'ADCS','ACACT2r','3OAS100','EX_o2_e','MOX','PDX5PO2','EC55989_1421','EC55989_1928','EC55989_3631','EC55989_0526','EC55989_4438','EC55989_0708'
'ADSK','ACACT2r','3OAS60','EX_o2_e','MOX','PPC','EC55989_1422','EC55989_2288','EC55989_3791','EC55989_0526','EC55989_4438','EC55989_0706'
'ADSL1r','ACACT2r','3OAS80','EX_o2_e','MTHFC','PPC','EC55989_0819','EC55989_3938','EC55989_0933','EC55989_0526','EC55989_4438','EC55989_0705'
'ADSL2r','ACACT3r','3HAD100','EX_o2_e','MTHFD','PPC','EC55989_0424','EC55989_0262','EC55989_2793','EC55989_0526','EC55989_4438','EC55989_0707'
'ADSS','ACACT3r','3HAD40','EX_o2_e','PGCD','PPC','EC55989_4442','EC55989_0346','EC55989_0119','EC55989_4211','EC55989_1948','EC55989_2028'
'AGPAT160','ACACT3r','3HAD60','EX_o2_e','PGL','RPE','EC55989_3591','EC55989_3155','EC55989_2793','EC55989_4211','EC55989_1948','EC55989_2029'
'AGPAT161','ACACT3r','3HAD80','EX_o2_e','PGL','TKT2','EC55989_3843','EC55989_3154','EC55989_2793','EC55989_4211','EC55989_1948','EC55989_4397'
'AGPR','ACACT3r','3OAR100','EX_o2_e','PPC','PSERT','EC55989_0125','EC55989_3153','EC55989_2793','EC55989_4211','EC55989_2028','EC55989_3214'
'AHCYSNS','ACACT3r','3OAR40','EX_o2_e','PPC','PSP_L','EC55989_4805','EC55989_2814','EC55989_1846','EC55989_4211','EC55989_2029','EC55989_3214'
'AICART','ACACT3r','3OAR60','EX_o2_e','PPC','UGLYCH','EC55989_2863','EC55989_2814','EC55989_1850','EC55989_4211','EC55989_3214','EC55989_4397'
'AIRC2','ACACT3r','3OAR80','EX_o2_e','PPC','URIC','EC55989_0977','EC55989_2814','EC55989_1849','EC55989_4212','EC55989_1948','EC55989_2028'
'AIRC3','ACACT3r','3OAS100','EX_o2_e','PPC','XAND','EC55989_2278','EC55989_2814','EC55989_1847','EC55989_4212','EC55989_1948','EC55989_2029'
'ALAALAr','ACACT3r','3OAS60','EX_succ_e','PPPGO','SUCDi','EC55989_0872','EC55989_2814','EC55989_1848','EC55989_4212','EC55989_1948','EC55989_4397'
'ALAR','ACACT3r','3OAS80','3HAD100','3HAD120','ACACT5r','EC55989_4333','EC55989_2814','EC55989_1851','EC55989_4212','EC55989_2028','EC55989_3214'
'AMAOTr','ACACT4r','3HAD100','3HAD100','3HAD120','ACOAD5f','EC55989_4774','EC55989_2813','EC55989_1846','EC55989_4212','EC55989_2029','EC55989_3214'
'AMPMS2','ACACT4r','3OAR100','3HAD100','3HAD120','ECOAH5','EC55989_0818','EC55989_2813','EC55989_1850','EC55989_4212','EC55989_3214','EC55989_4397'
'ANPRT','ACACT4r','3OAS100','3HAD100','3HAD120','HACD5','EC55989_3614','EC55989_2813','EC55989_1849','EC55989_4210','EC55989_1948','EC55989_2028'
'ANS','ACOAD1f','3HAD100','3HAD100','3HAD140','ACACT6r','EC55989_3455','EC55989_2813','EC55989_1847','EC55989_4210','EC55989_1948','EC55989_2029'
'AOXSr2','ACOAD1f','3HAD40','3HAD100','3HAD140','ECOAH6','EC55989_1304','EC55989_2813','EC55989_1848','EC55989_4210','EC55989_1948','EC55989_4397'
'APRAUR','ACOAD1f','3HAD60','3HAD100','3HAD140','HACD6','EC55989_2889','EC55989_2813','EC55989_1851','EC55989_4210','EC55989_2028','EC55989_3214'
'ARGSL','ACOAD1f','3HAD80','3HAD100','3OAR120','ACACT5r','EC55989_2888','EC55989_4306','EC55989_4504','EC55989_4210','EC55989_2029','EC55989_3214'
'ARGSS','ACOAD1f','3OAR100','3HAD100','3OAR120','ACOAD5f','EC55989_2573','EC55989_0743','EC55989_2711','EC55989_4210','EC55989_3214','EC55989_4397'
'ASAD','ACOAD1f','3OAR40','3HAD100','3OAR120','ECOAH5','EC55989_4531','EC55989_0743','EC55989_2713','EC55989_4208','EC55989_1948','EC55989_2028'
'ASP1DC','ACOAD1f','3OAR60','3HAD100','3OAR120','HACD5','EC55989_0959','EC55989_0743','EC55989_2712','EC55989_4208','EC55989_1948','EC55989_2029'
'ASPCT','ACOAD1f','3OAR80','3HAD100','3OAS120','ACACT5r','EC55989_0824','EC55989_0745','EC55989_2711','EC55989_4208','EC55989_1948','EC55989_4397'
'ASPK','ACOAD1f','3OAS100','3HAD100','3OAS120','ACOAD5f','EC55989_0826','EC55989_0745','EC55989_2713','EC55989_4208','EC55989_2028','EC55989_3214'
'ASPTA','ACOAD1f','3OAS60','3HAD100','3OAS120','ECOAH5','EC55989_0703','EC55989_0745','EC55989_2712','EC55989_4208','EC55989_2029','EC55989_3214'
'ATPPRT','ACOAD1f','3OAS80','3HAD100','3OAS120','HACD5','EC55989_3055','EC55989_0744','EC55989_2711','EC55989_4208','EC55989_3214','EC55989_4397'
'BMOCOS','ACOAD2f','3HAD100','3HAD100','AACPS2','AACPS4','EC55989_3115','EC55989_0744','EC55989_2713','EC55989_4207','EC55989_1948','EC55989_2028'
'BMOGDS1','ACOAD2f','3HAD40','3HAD100','AACPS2','CTECOAI7_copy1','EC55989_4283','EC55989_0744','EC55989_2712','EC55989_4207','EC55989_1948','EC55989_2029'
'BMOGDS2','ACOAD2f','3HAD60','3HAD100','AACPS2','FACOAE161','EC55989_0169','EC55989_3403','EC55989_4197','EC55989_4207','EC55989_1948','EC55989_4397'
'BPNT','ACOAD2f','3HAD80','3HAD100','AACPS4','CTECOAI6_copy1','EC55989_3457','EC55989_3403','EC55989_4196','EC55989_4207','EC55989_2028','EC55989_3214'
'BTS5','ACOAD2f','3OAR100','3HAD100','AACPS4','FACOAE141','EC55989_0821','EC55989_3403','EC55989_4198','EC55989_4207','EC55989_2029','EC55989_3214'
'CA2tex','ACOAD2f','3OAR40','3HAD100','AACPS7','AACPS8','EC55989_4114','EC55989_3403','EC55989_4199','EC55989_4207','EC55989_3214','EC55989_4397'
'CAt6pp','ACOAD2f','3OAR60','3HAD100','AACPS7','FACOAE100','EC55989_4243','EC55989_1303','EC55989_4585','EC55989_4213','EC55989_1948','EC55989_2028'
'CDPMEK','ACOAD2f','3OAR80','3HAD100','AACPS8','ACACT5r','EC55989_0030','EC55989_1859','EC55989_3698','EC55989_4213','EC55989_1948','EC55989_2029'
'CHORM','ACOAD2f','3OAS100','3HAD100','AACPS8','ACOAD5f','EC55989_2761','EC55989_3791','EC55989_3202','EC55989_4213','EC55989_1948','EC55989_4397'
'CHORS','ACOAD2f','3OAS60','3HAD100','AACPS8','ECOAH5','EC55989_2559','EC55989_3795','EC55989_0397','EC55989_4213','EC55989_2028','EC55989_3214'
'CHRPL','ACOAD2f','3OAS80','3HAD100','AACPS8','FACOAE120','EC55989_3473','EC55989_4244','EC55989_3534','EC55989_4213','EC55989_2029','EC55989_3214'
