A,B,C,D,E,F,G,H,I,J,K,L
'EX_pi_e','ACACT1r','3HAD60','EX_glyclt_e','GLXCL','MALS','EC042_3490','EC042_2755','EC042_4885','EC042_2755','EC042_0962','EC042_3927'
'EX_so4_e','ACACT1r','3HAD80','EX_h_e','EX_h2o_e','GLYCtex','EC042_3489','EC042_3353','EC042_4410','EC042_2755','EC042_0962','EC042_3926'
'EX_zn2_e','ACACT1r','3OAR100','EX_h_e','EX_o2_e','CO2tex','EC042_4736','EC042_0702','EC042_4131','EC042_2755','EC042_3115','EC042_0572'
'3OAR140','ACACT1r','3OAR40','EX_h_e','EX_o2_e','CO2tpp','EC042_3622','EC042_4314','EC042_0001','EC042_2755','EC042_3116','EC042_0572'
'3OAS140','ACACT1r','3OAR60','EX_h_e','EX_o2_e','PDH','EC042_1166','EC042_0155','EC042_1740','EC042_2755','EC042_3114','EC042_0572'
'5DOAN','ACACT1r','3OAR80','EX_h_e','CO2tex','FE2tex','EC042_3623','EC042_2644','EC042_4240','EC042_2755','EC042_4377','EC042_4331'
'A5PISO','ACACT1r','3OAS100','EX_h_e','CO2tex','FE3tex','EC042_1977','EC042_3297','EC042_1790','EC042_2755','EC042_4331','EC042_0739'
'ACCOAC','ACACT1r','3OAS60','EX_h_e','CO2tex','FEROpp','EC042_2944','EC042_2623','EC042_2630','EC042_2755','EC042_4331','EC042_0740'
'ACGK','ACACT1r','3OAS80','EX_h_e','CO2tex','O2tex','EC042_1202','EC042_1000','EC042_0169','EC042_2755','EC042_4331','EC042_0742'
'ACGS','ACACT2r','3HAD100','EX_h_e','CO2tpp','O2tex','EC042_4650','EC042_3257','EC042_3260','EC042_2755','EC042_4331','EC042_0741'
'ACHBS','ACACT2r','3HAD40','EX_h_e','GLYCtex','H2Otex','EC042_3306','EC042_3257','EC042_3261','EC042_2598','EC042_2531','EC042_3878'
'ACLS','ACACT2r','3HAD60','EX_h_e','O2tex','PDH','EC042_4333','EC042_3257','EC042_3262','EC042_0559','EC042_4377','EC042_4331'
'ACODA','ACACT2r','3HAD80','EX_o2_e','ALLTAMH','PPC','EC042_4373','EC042_0050','EC042_1774','EC042_0559','EC042_4331','EC042_0739'
'ACONTa','ACACT2r','3OAR100','EX_o2_e','ALLTN','PPC','EC042_0565','EC042_2032','EC042_0100','EC042_0559','EC042_4331','EC042_0740'
'ACONTb','ACACT2r','3OAR40','EX_o2_e','DHBS','FE3abcpp','EC042_0566','EC042_3136','EC042_1945','EC042_0559','EC042_4331','EC042_0742'
'ACOTA','ACACT2r','3OAR60','EX_o2_e','DHBS','FE3tex','EC042_0857','EC042_1425','EC042_4243','EC042_0559','EC042_4331','EC042_0741'
'ADCL','ACACT2r','3OAR80','EX_o2_e','DHBSH','FE3abcpp','EC042_4361','EC042_1926','EC042_3503','EC042_0555','EC042_4377','EC042_4331'
'ADCS','ACACT2r','3OAS100','EX_o2_e','DHBSH','FE3tex','EC042_1389','EC042_1926','EC042_3502','EC042_0555','EC042_4331','EC042_0739'
'ADSK','ACACT2r','3OAS60','EX_o2_e','DHORD5','DHORDfum','EC042_1390','EC042_2272','EC042_3647','EC042_0555','EC042_4331','EC042_0740'
'ADSL1r','ACACT2r','3OAS80','EX_o2_e','DHORDfum','FRD2','EC042_0859','EC042_3783','EC042_0980','EC042_0555','EC042_4331','EC042_0742'
'ADSL2r','ACACT3r','3HAD100','EX_o2_e','ENTCS','FE3abcpp','EC042_0449','EC042_0299','EC042_2709','EC042_0555','EC042_4331','EC042_0741'
'ADSS','ACACT3r','3HAD40','EX_o2_e','ENTCS','FE3tex','EC042_4335','EC042_0376','EC042_0125','EC042_4119','EC042_1945','EC042_2017'
'AGPAT160','ACACT3r','3HAD60','EX_o2_e','ENTERES2','FE3abcpp','EC042_3463','EC042_3078','EC042_2709','EC042_4119','EC042_1945','EC042_2018'
