A,B,C,D,E,F,G,H,I,J,K,L
'AGPAT160','ACONTb','HISDr','3OAR120','ECOAH7','CTECOAI6','KPN_03996','KPN_00793','KPN_01144','KPN_00120','KPN_02876','KPN_00930'
'AGPAT161','ACONTb','IZPN','3OAR120','FACOAL141t2pp','HACD7i','KPN_04270','KPN_01770','KPN_01144','KPN_00120','KPN_02825','KPN_00935'
'AGPAT181','ACONTb','URCN','3OAR120','FACOAL141t2pp','ACACT7r','KPN_00039','KPN_02825','KPN_00484','KPN_00120','KPN_02825','KPN_03348'
'AGPR','ADK3','NDPK1','3OAR120','HACD7i','CTECOAI6','KPN_02812','KPN_01021','KPN_04178','KPN_00120','KPN_02825','KPN_04843'
'AICART','AKGDH','SUCOAS','3OAR120','ACACT7r','CTECOAI6','KPN_00974','KPN_02499','KPN_03757','KPN_00120','KPN_00484','KPN_00935'
'AIRC2','ASNS1','ASNS2','3OAR160','ACOAD7f','ECOAH8','KPN_01074','KPN_02014','KPN_00134','KPN_00120','KPN_00484','KPN_03348'
'AIRC3','CS','FGLU','3OAR160','ACOAD7f','FACOAL181t2pp','KPN_03760','KPN_00310','KPN_04239','KPN_00120','KPN_00484','KPN_04843'
'ALAALAr','CS','FORAMD','3OAR160','ACOAD7f','HACD8i','KPN_00073','KPN_00796','KPN_01144','KPN_00120','KPN_00930','KPN_00935'
'ALAR','CS','HISDr','3OAR160','ACOAD7f','ACACT8r','KPN_04273','KPN_01144','KPN_00792','KPN_00120','KPN_00930','KPN_03348'
'ALATA_L','CS','IZPN','3OAR160','ACOAD7f','CTECOAI8','KPN_01096','KPN_01144','KPN_00795','KPN_00120','KPN_00930','KPN_04843'
'ANPRT','CS','URCN','3OAR160','ECOAH8','FACOAL161t2pp','KPN_01284','KPN_00080','KPN_03016','KPN_02876','KPN_00903','KPN_03961'
'ANS','CYS','CYSS','3OAR160','ECOAH8','CTECOAI7','KPN_03119','KPN_02770','KPN_00778','KPN_02876','KPN_03123','KPN_01197'
'ARGSL','CYS','SERAT','3OAR160','FACOAL161t2pp','FACOAL181t2pp','KPN_03118','KPN_02770','KPN_00779','KPN_02876','KPN_03123','KPN_03355'
'ARGSS','CYSTGL','THRD_L','3OAR160','FACOAL161t2pp','HACD8i','KPN_04135','KPN_02770','KPN_00777','KPN_02876','KPN_02825','KPN_03341'
'ASAD','CYTK1','NTD4','3OAR160','FACOAL161t2pp','ACACT8r','KPN_04429','KPN_02771','KPN_00778','KPN_02876','KPN_02825','KPN_03340'
'ASPCT','DALAt2pp','DALAtex','3OAR160','FACOAL161t2pp','CTECOAI8','KPN_03952','KPN_02771','KPN_00779','KPN_02876','KPN_02825','KPN_03339'
'ASPK','DALAt2pp','EX_ala__D_e','3OAR160','FACOAL181t2pp','CTECOAI7','KPN_02202','KPN_02771','KPN_00777','KPN_02876','KPN_03341','KPN_00484'
'ASPTA','DHORD2','DHORD5','3OAR160','HACD8i','CTECOAI7','KPN_04134','KPN_02772','KPN_00778','KPN_02876','KPN_03341','KPN_00930'
'ATPPRT','DNAMTn2r','METS','3OAR160','CTECOAI7','ACACT8r','KPN_02492','KPN_02772','KPN_00779','KPN_02876','KPN_03340','KPN_00484'
'BPNT','DNAMTn2r','MTHFR2','3OAR160','CTECOAI7','CTECOAI8','KPN_02702','KPN_02772','KPN_00777','KPN_02876','KPN_03340','KPN_00930'
'CBPS','EAR121x','EAR121y','3OAS120','ACOAD6f','FACOAL141t2pp','KPN_04256','KPN_00484','KPN_00930','KPN_02876','KPN_03339','KPN_00484'
'CHORM','EAR141x','EAR141y','3OAS120','ACOAD6f','CTECOAI6','KPN_00214','KPN_01274','KPN_00370','KPN_02876','KPN_03339','KPN_00930'
'CHORS','EAR161x','EAR161y','3OAS120','ECOAH7','FACOAL141t2pp','KPN_02833','KPN_03021','KPN_00711','KPN_01125','KPN_00945','KPN_03349'
'CLPNS160pp','EAR181x','EAR181y','3OAS120','ECOAH7','CTECOAI6','KPN_02476','KPN_03858','KPN_04133','KPN_01125','KPN_03972','KPN_03349'
'CLPNS161pp','EAR40x','EAR40y','3OAS120','FACOAL141t2pp','HACD7i','KPN_02478','KPN_03858','KPN_04132','KPN_01125','KPN_03757','KPN_03349'
'CLPNS181pp','EAR60x','EAR60y','3OAS120','FACOAL141t2pp','ACACT7r','KPN_00003','KPN_03858','KPN_04131','KPN_04139','KPN_02365','KPN_01197'
'CTPS2','EAR80x','EAR80y','3OAS120','HACD7i','CTECOAI6','KPN_04394','KPN_03858','KPN_04130','KPN_04139','KPN_02365','KPN_03355'
'CYSTL','FACOAL160t2pp','PGPP160','3OAS120','ACACT7r','CTECOAI6','KPN_02477','KPN_04839','KPN_02238','KPN_04139','KPN_02366','KPN_01197'
'DAPDC','FACOAL161t2pp','PGPP161','3OAS160','ACOAD7f','ECOAH8','KPN_02481','KPN_02238','KPN_04492','KPN_04139','KPN_02366','KPN_03355'
'DAPE','FACOAL181t2pp','PGPP181','3OAS160','ACOAD7f','FACOAL181t2pp','KPN_02479','KPN_03682','KPN_00075','KPN_04137','KPN_02365','KPN_01197'
'DASYN160','FGLU','ICDHyr','3OAS160','ACOAD7f','HACD8i','KPN_01255','KPN_03761','KPN_00332','KPN_04137','KPN_02365','KPN_03355'
'DASYN161','FLDR','NDPK5','3OAS160','ACOAD7f','ACACT8r','KPN_04269','KPN_02488','KPN_02494','KPN_04137','KPN_02366','KPN_01197'
'DASYN181','FLDR','NDPK7','3OAS160','ACOAD7f','CTECOAI8','KPN_02834','KPN_02495','KPN_02489','KPN_04137','KPN_02366','KPN_03355'
'DDPA','FLDR','NDPK8','3OAS160','ECOAH8','FACOAL161t2pp','KPN_00079',,,'KPN_04136','KPN_02365','KPN_01197'
'DHAD1','FORAMD','ICDHyr','3OAS160','ECOAH8','CTECOAI7','KPN_00077',,,'KPN_04136','KPN_02365','KPN_03355'
'DHAD2','FUM','PPC','3OAS160','FACOAL161t2pp','FACOAL181t2pp','KPN_00078',,,'KPN_04136','KPN_02366','KPN_01197'
'DHDPRy','FUM','SUCCt3pp','3OAS160','FACOAL161t2pp','HACD8i','KPN_03608',,,'KPN_04136','KPN_02366','KPN_03355'
'DHDPS','G5SD','NACODA','3OAS160','FACOAL161t2pp','ACACT8r','KPN_02230',,,'KPN_04143','KPN_02365','KPN_01197'
'DHFR','GAPD','O2tex','3OAS160','FACOAL161t2pp','CTECOAI8','KPN_00195',,,'KPN_04143','KPN_02365','KPN_03355'
'DHORTS','GAPD','O2tpp','3OAS160','FACOAL181t2pp','CTECOAI7','KPN_01515',,,'KPN_04143','KPN_02366','KPN_01197'
'DHQS','GAPD','EX_o2_e','3OAS160','HACD8i','CTECOAI7','KPN_01090',,,'KPN_04143','KPN_02366','KPN_03355'
'DHQTi','GARFT','GART','3OAS160','CTECOAI7','ACACT8r','KPN_00414',,,'KPN_04142','KPN_02365','KPN_01197'
'DTMPK','GARFT','MTHFC','3OAS160','CTECOAI7','CTECOAI8','KPN_04659',,,'KPN_04142','KPN_02365','KPN_03355'
'G1PACT','GARFT','MTHFD','AACPS3','EAR160x','EAR160y','KPN_01277',,,'KPN_04142','KPN_02366','KPN_01197'
'G1PTT','GART','MTHFC','AACPS7','EAR120x','EAR120y','KPN_03983',,,'KPN_04142','KPN_02366','KPN_03355'
'G3PAT160','GART','MTHFD','ACKr','ACS','ACt2rpp','KPN_00329',,,'KPN_04141','KPN_02365','KPN_01197'
'G3PAT161','GHMT2r','PGCD','ACKr','ACS','ACtex','KPN_00091',,,'KPN_04141','KPN_02365','KPN_03355'
'G3PAT181','GHMT2r','PSERT','ACKr','ACS','EX_ac_e','KPN_03117',,,'KPN_04141','KPN_02366','KPN_01197'
'G3PD2','GHMT2r','PSP_L','ACKr','ATPS4rpp','GAPD','KPN_03586',,,'KPN_04141','KPN_02366','KPN_03355'
'G5SADs','GLCtex_copy1','GLCtex_copy2','ACKr','ATPS4rpp','PGK','KPN_02410',,,'KPN_04138','KPN_02365','KPN_01197'
'GALUi','GLU5K','NACODA','ACKr','ENO','O2tex','KPN_04387',,,'KPN_04138','KPN_02365','KPN_03355'
'GF6PTA','GLYCtex','GLYCtpp','ACKr','ENO','O2tpp','KPN_02824',,,'KPN_04138','KPN_02366','KPN_01197'
'GK1','GLYCtpp','EX_glyc_e','ACKr','ENO','EX_o2_e','KPN_02482',,,'KPN_04138','KPN_02366','KPN_03355'
'GLA','GND','RPE','ACKr','O2tex','PGM','KPN_02810',,,'KPN_04140','KPN_02365','KPN_01197'
'GLNS','GND','TKT2','ACKr','O2tpp','PGM','KPN_02882',,,'KPN_04140','KPN_02365','KPN_03355'
'GLUPRT','GRXR','PAPSR','ACKr','PGM','EX_o2_e','KPN_02480',,,'KPN_04140','KPN_02366','KPN_01197'
'GLUR','GRXR','TRDR','ACOAD6f','FA140ACPHi','FACOAE140','KPN_00936',,,'KPN_04140','KPN_02366','KPN_03355'
'GMHEPAT','GTHOr','PAPSR','ACOAD7f','FACOAE160','PGPP160','KPN_04557',,,'KPN_02584','KPN_00937','KPN_04157'
'GMHEPK','GTHOr','TRDR','ACOATA','KAS15','MACPD','KPN_02908',,,'KPN_02162','KPN_02923','KPN_00758'
'GMHEPPA','HCYSMT','METS','ACS','ACt2rpp','PTAr','KPN_00236',,,'KPN_04707','KPN_02428','KPN_04239'
'GMPS2','HCYSMT','MTHFR2','ACS','ACtex','PTAr','KPN_03113',,,'KPN_02905','KPN_04282','KPN_03866'
'HCO3E','HISDr','ICDHyr','ACS','PTAr','EX_ac_e','KPN_03114',,,'KPN_02905','KPN_03866','KPN_00920'
'HISTD','ICDHyr','IZPN','ACt2rpp','ATPS4rpp','GAPD','KPN_02805',,,'KPN_03123','KPN_03773','KPN_02160'
'HISTP','ICDHyr','URCN','ACt2rpp','ATPS4rpp','PGK','KPN_04233',,,'KPN_00355','KPN_00415','KPN_04338'
'HSDy','KAS14','KAS15','ACt2rpp','ENO','O2tex','KPN_00942',,,'KPN_00355','KPN_00415','KPN_04321'
'HSK','KDOCT2','RPI','ACt2rpp','ENO','O2tpp','KPN_00179',,,'KPN_00355','KPN_00472','KPN_04321'
'HSST','METS','SK_dna_c','ACt2rpp','ENO','EX_o2_e','KPN_03236',,,'KPN_00793','KPN_04395','KPN_04245'
'HSTPT','METS','SK_dna5mtc_c','ACt2rpp','O2tex','PGM','KPN_01253',,,'KPN_04002','KPN_03866','KPN_02643'
'IG3PS','MOAT','RPI','ACt2rpp','O2tpp','PGM','KPN_01254',,,'KPN_04002','KPN_03866','KPN_02642'
'IGPDH','MOAT2','RPI','ACt2rpp','PGM','EX_o2_e','KPN_00192',,,'KPN_04002','KPN_02643','KPN_03007'
'IGPS','MTHFC','PFL','ACtex','ATPS4rpp','GAPD','KPN_00089',,,'KPN_04002','KPN_02643','KPN_03006'
'ILETA','MTHFD','PFL','ACtex','ATPS4rpp','PGK','KPN_00194',,,'KPN_04002','KPN_02642','KPN_03007'
'IMPC','MTHFR2','SK_dna_c','ACtex','ENO','O2tex','KPN_03599',,,'KPN_04002','KPN_02642','KPN_03006'
'IMPD','MTHFR2','SK_dna5mtc_c','ACtex','ENO','O2tpp','KPN_00094',,,'KPN_01770','KPN_04395','KPN_04245'
'IPMD','NDPK5','RNTR2c','ACtex','ENO','EX_o2_e','KPN_00092',,,'KPN_01517','KPN_01516','KPN_04245'
'IPPMIa','NDPK7','RNTR3c','ACtex','O2tex','PGM','KPN_00095',,,'KPN_02496','KPN_02490','KPN_04289'
'IPPMIb','NDPK8','RNTR1c','ACtex','O2tpp','PGM','KPN_04350',,,'KPN_02367','KPN_03801','KPN_03757'
'IPPS','O2tex','PGK','ACtex','PGM','EX_o2_e','KPN_00773',,,'KPN_01197','KPN_03773','KPN_02160'
'KARA1','O2tpp','PGK','ADK1','ADK3','PPM','KPN_02493',,,'KPN_02825','KPN_03341','KPN_00935'
'KARA2','PAPSR','PAPSR2','ADK1','ADK3','PRPPS','KPN_00090',,,'KPN_02825','KPN_03341','KPN_03348'
'KDOPP','PAPSR2','TRDR','ADK1','ADK3','R15BPK','KPN_00100',,,'KPN_02825','KPN_03341','KPN_04843'
'KDOPS','PG160abcpp','PGP160abcpp','ADK1','ADK3','R1PK','KPN_00480',,,'KPN_02825','KPN_03340','KPN_00935'
'LEUTAi','PG160abcpp','PGPP160pp','ADK1','NDPK1','PPM',,,,'KPN_02825','KPN_03340','KPN_03348'
'LPADSS','PG161abcpp','PGP161abcpp','ADK1','NDPK1','PRPPS',,,,'KPN_02825','KPN_03340','KPN_04843'
'MAN6PI','PG161abcpp','PGPP161pp','ADK1','NDPK1','R15BPK',,,,'KPN_02825','KPN_03339','KPN_00935'
'MCOATA','PG181abcpp','PGP181abcpp','ADK1','NDPK1','R1PK',,,,'KPN_02825','KPN_03339','KPN_03348'
'MCTP1App','PG181abcpp','PGPP181pp','AGPAT140','FA140ACPHi','FACOAE140',,,,'KPN_02825','KPN_03339','KPN_04843'
'MPTG','PGK','EX_o2_e','ALCD2x','ENO','O2tex',,,,'KPN_01492','KPN_01210','KPN_03624'
'NDPK2','PGP160abcpp','PGPP160','ALCD2x','ENO','O2tpp',,,,'KPN_01492','KPN_01210','KPN_03625'
'NDPK4','PGP161abcpp','PGPP161','ALCD2x','ENO','EX_o2_e',,,,'KPN_03341','KPN_00484','KPN_00935'
'NH4tex','PGP181abcpp','PGPP181','ALCD2x','O2tex','PGM',,,,'KPN_03341','KPN_00484','KPN_03348'
'NH4tpp','PGPP160','PGPP160pp','ALCD2x','O2tpp','PGM',,,,'KPN_03341','KPN_00484','KPN_04843'
'OCBT','PGPP160','PLIPA1G160pp','ALCD2x','PGM','EX_o2_e',,,,'KPN_03341','KPN_00930','KPN_00935'
'OMCDC','PGPP161','PGPP161pp','ATPS4rpp','EDA','GAPD',,,,'KPN_03341','KPN_00930','KPN_03348'
'OMPDC','PGPP161','PLIPA1G161pp','ATPS4rpp','EDA','PGK',,,,'KPN_03341','KPN_00930','KPN_04843'
'ORPT','PGPP181','PGPP181pp','ATPS4rpp','EDD','GAPD',,,,'KPN_03340','KPN_00484','KPN_00935'
'P5CR','PGPP181','PLIPA1G181pp','ATPS4rpp','EDD','PGK',,,,'KPN_03340','KPN_00484','KPN_03348'
'PAPPT3','PIt2rpp','PIuabcpp','ATPS4rpp','GAPD','PTAr',,,,'KPN_03340','KPN_00484','KPN_04843'
'PE160abcpp','PPA','PPK','ATPS4rpp','GAPD','TPI',,,,'KPN_03340','KPN_00930','KPN_00935'
'PE161abcpp','PPM','PRPPS','ATPS4rpp','GAPD','EX_ac_e',,,,'KPN_03340','KPN_00930','KPN_03348'
'PE181abcpp','PRPPS','R15BPK','ATPS4rpp','PGK','PTAr',,,,'KPN_03340','KPN_00930','KPN_04843'
'PGAMT','PRPPS','R1PK','ATPS4rpp','PGK','TPI',,,,'KPN_03339','KPN_00484','KPN_00935'
'PGMT','RPE','RPI','ATPS4rpp','PGK','EX_ac_e',,,,'KPN_03339','KPN_00484','KPN_03348'
